,Price,Year,Mileage,Tank capacity,Fuel type,Model,Estimation
421,55900,2013,240000,1968,7,44,2
422,24600,2009,151700,1390,1,16,3
423,42900,2013,285000,1968,7,32,3
424,29999,2012,264000,1968,7,47,0
425,26900,2013,131000,1199,7,35,3
426,89500,2017,161000,1498,1,2,2
427,72000,2016,129000,1798,1,32,2
428,71900,2014,155000,1968,7,32,2
429,110000,2017,78000,1968,7,32,2
430,12900,2003,249000,1984,1,32,0
431,142500,2015,156800,2967,7,46,2
432,39990,2015,220000,1968,7,47,1
433,16900,2004,310215,2496,7,32,0
434,22000,2008,336000,1968,7,32,3
435,38500,2012,316000,1968,7,32,2
436,53900,2015,237000,1968,7,32,2
437,13000,2005,330000,1896,7,39,0
438,24900,2007,147000,1896,7,47,0
439,6499,1998,311000,2792,2,39,3
440,93000,2018,47454,1498,1,16,0
441,45500,2017,176846,1968,7,9,0
442,39900,2014,278200,1390,1,10,2
443,19900,2004,369000,2460,7,46,2
444,25900,2011,245000,1598,7,16,0
445,74800,2018,151800,1968,7,32,2
446,45900,2013,263000,1968,7,16,2
447,51900,2017,225000,1598,7,16,2
448,64900,2013,174000,1968,7,10,3
449,52500,2018,141000,1598,7,16,2
450,89900,2018,120000,1968,7,32,2
451,42900,2015,201240,1598,7,16,2
452,25500,2013,179000,999,1,49,2
453,128900,2012,212000,2000,7,48,0
454,81900,2022,10072,1498,1,32,0
455,15950,2006,308300,1896,7,32,0
456,79900,2018,128400,1968,7,32,2
457,59900,2016,85000,1395,1,16,2
458,150000,2015,139800,2967,7,46,3
459,20900,2008,289481,1968,7,32,3
460,32900,2014,299999,1598,7,16,2
461,43900,2011,176949,1984,1,16,2
462,117900,2017,185000,1984,1,2,3
463,97000,1989,55000,2383,7,28,0
464,42900,2009,194235,1390,1,38,0
465,58900,2017,84000,1598,7,16,2
466,24990,2010,289124,1598,7,16,2
467,29900,2014,120000,1197,1,35,1
468,84500,2017,166890,1395,1,44,2
469,2800,1999,260500,1390,1,16,0
470,19999,2009,257128,1968,7,32,2
471,67500,2017,199931,1968,7,44,1
472,37900,2010,150000,1390,1,44,2
473,69900,2017,208000,1968,7,32,2
474,62900,2015,222000,1968,7,32,2
475,24200,2011,297000,1598,7,16,2
476,13500,2008,339450,1896,7,16,1
477,37500,2009,206000,1968,7,10,3
478,4300,2000,225000,1390,1,16,0
479,42500,2014,267396,1968,7,32,0
480,84700,2018,70500,1968,7,16,2
481,19000,2007,213000,1968,7,32,3
482,4600,2004,182000,1422,7,35,0
483,41900,2015,231000,1598,7,16,2
484,6999,2005,315000,1390,1,16,0
485,64900,2017,265000,1598,7,47,2
486,29900,2005,194000,1896,7,48,2
487,109000,2019,99500,1968,7,32,3
488,54700,2016,155000,1598,7,32,1
489,8999,2000,210000,1984,1,16,2
490,59999,2018,82000,999,1,35,3
491,39000,2013,206000,1390,1,44,1
492,34000,2009,139909,1390,1,16,0
493,17500,2008,180000,1390,1,16,3
494,99999,2019,89000,1598,7,41,2
495,79950,2019,102000,1968,7,7,2
496,66900,2018,128600,1598,7,16,3
497,83900,2017,116000,1798,1,32,2
498,24900,2009,215000,1390,1,32,2
499,77900,2017,130000,1968,7,32,2
500,23900,2011,292000,1598,7,16,2
501,39600,2012,90000,1598,1,7,2
502,45900,2016,244500,1598,7,32,1
503,129900,2017,21000,1395,1,44,3
504,26999,2010,131000,1390,1,16,2
505,26999,2010,153000,1390,1,16,2
506,59999,2015,208000,1968,7,32,2
507,26600,2009,188100,1390,1,16,3
508,39500,2010,271000,1968,7,44,2
509,81500,2019,22000,1498,1,16,2
510,189420,2022,7750,1984,1,2,2
511,149000,2021,19850,1498,1,7,0
512,21900,2006,289000,1900,7,7,3
513,8900,2007,367800,1896,7,16,0
514,38000,2014,222500,1598,7,16,2
515,32000,2015,295000,4172,1,34,0
516,21900,2008,225000,1984,1,16,0
517,115900,2020,55000,1984,1,44,1
518,15800,2006,155000,1984,3,47,2
519,58900,2013,73500,1968,7,32,0
520,23500,2004,200000,4921,7,34,3
521,25900,2007,175299,1390,1,47,0
522,27900,2009,295191,1968,7,16,0
523,13900,2006,280000,1896,7,16,2
524,26900,2006,236000,1984,1,16,0
525,7999,2000,176000,1389,1,35,0
526,19900,2015,151000,999,1,35,0
527,60000,2013,142000,1968,7,44,2
528,29900,2010,227764,1968,7,13,3
